Feature,Max,Mean,Std,Median,95th %ile,Non-zero %
3378,12.615613,4.343603,2.2038867,4.3110266,8.219373,97.61904761904762
7612,10.896579,1.8353046,1.9672037,1.3198491,5.6487026,69.76190476190476
407,10.364836,3.3540747,2.4514055,3.249032,7.0952625,86.90476190476191
4793,10.119128,3.0822453,2.2707362,2.9096375,7.129512,87.85714285714286
5234,9.698924,1.568203,1.779613,1.0268724,5.1471896,69.28571428571428
6445,9.696674,2.4276946,1.978741,2.240891,5.9487553,82.85714285714286
2558,7.3914533,3.5124316,1.7181187,3.6297073,5.8895698,94.04761904761905
6296,6.4194174,2.980118,1.3557892,3.1056385,4.966948,94.76190476190476
835,6.0666075,2.0183496,1.3291494,1.9293969,4.278946,90.23809523809524
7799,5.9261484,1.6878126,1.3216397,1.5655065,4.135638,85.0
7949,5.489678,0.9340858,1.2661661,0.1679799,3.5805073,53.80952380952381
1867,3.7956712,0.6505787,0.80253863,0.28361773,2.333279,60.238095238095234
